ID,period_minutes,mean_power
102,10,8.030450820682568e-4
102,10.00597014925373,7.250172581199944e-5
102,10.005988023952098,0.0016059878020731283
102,10.008941877794337,6.443306885484218e-4
102,10.008968609865473,3.903155098130953e-4
102,10.008995502248876,0.002058071348550645
102,10.009273570324575,0.0016651676127650238
102,10.009302325581395,0.0039649081685936465
102,10.012422360248447,0.0022679998201062274
102,10.014947683109119,5.943047462952382e-4
102,10.015082956259425,1.3665952930312018e-4
102,10.015313935681473,9.656666137515242e-4
102,10.01550387596899,7.127260320216339e-4
102,10.020926756352766,1.7178925516163427e-4
102,10.020989505247377,7.003240437355204e-4
102,10.021052631578947,2.039985489233929e-4
102,10.023880597014925,6.085136134022394e-4
102,10.023952095808385,4.748486714360148e-4
102,10.024024024024023,0.004919347789239318
102,10.024767801857585,3.485542226996824e-4
102,10.024844720496894,0.003690853966978049
102,10.027993779160186,0.0038566798623805745
102,10.029940119760479,5.129520034200309e-4
102,10.030211480362537,2.0545078150393937e-4
102,10.030674846625768,1.60787842327e-4
102,10.031055900621118,5.957987069027979e-4
102,10.035928143712574,1.8923221179737796e-4
102,10.036036036036036,5.502392932270922e-4
102,10.038863976083707,3.981757383658784e-4
102,10.038980509745128,6.524255390596245e-4
102,10.039097744360902,0.003330605750207054
102,10.04031007751938,3.5039681878708793e-4
102,10.040435458786936,0.004442262168012689
102,10.043613707165107,0.004228078596432514
102,10.044977511244378,7.179890497140657e-4
102,10.04538577912254,5.816404824441853e-4
102,10.046082949308756,3.5605456520090373e-4
102,10.046656298600311,7.599432999107951e-4
102,10.050974512743627,1.60305530537204e-4
102,10.051127819548872,7.969513971987147e-4
102,10.052910052910054,0.0016095206930539024
102,10.053892215568863,2.601328500780326e-4
102,10.054054054054054,5.523136846089152e-4
102,10.05421686746988,0.0027388111523306176
102,10.05586592178771,0.0014593713193946046
102,10.055900621118012,6.809929002521071e-4
102,10.05607476635514,0.0034363167448479737
102,10.059282371294852,0.0023130128193493225
102,10.06006006006006,6.428785222293765e-4
102,10.060606060606059,9.130229117041757e-4
102,10.061538461538463,7.854072588533551e-4
102,10.062111801242237,0.001912258799749836
102,10.062305295950154,7.745209226224227e-4
102,10.066066066066066,4.155023674907885e-5
102,10.066265060240966,8.937832442240818e-4
102,10.068965517241379,5.94394235682315e-4
102,10.069172932330828,8.495704456766487e-4
102,10.069381598793363,0.0018630084495414468
102,10.07153965785381,4.915586019537114e-4
